날짜,지점,강수량(mm)
2023.1.1,108,
2023.1.2,108,
2023.1.3,108,
2023.1.4,108,
2023.1.5,108,
2023.1.6,108,3.9
2023.1.7,108,0.1
2023.1.8,108,
2023.1.9,108,
2023.1.10,108,
2023.1.11,108,
2023.1.12,108,0
2023.1.13,108,37.3
2023.1.14,108,1.6
2023.1.15,108,3.2
2023.1.16,108,0
2023.1.17,108,0
2023.1.18,108,0
2023.1.19,108,1
2023.1.20,108,
2023.1.21,108,
2023.1.22,108,0
2023.1.23,108,
2023.1.24,108,0
2023.1.25,108,0
2023.1.26,108,0.8
2023.1.27,108,
2023.1.28,108,0
2023.1.29,108,
2023.1.30,108,
2023.1.31,108,
2023.2.1,108,
2023.2.2,108,
2023.2.3,108,
2023.2.4,108,
2023.2.5,108,
2023.2.6,108,
2023.2.7,108,
2023.2.8,108,
2023.2.9,108,0
2023.2.10,108,0.6
2023.2.11,108,
2023.2.12,108,
2023.2.13,108,
2023.2.14,108,
2023.2.15,108,
2023.2.16,108,0
2023.2.17,108,
2023.2.18,108,
2023.2.19,108,0.4
2023.2.20,108,
2023.2.21,108,
2023.2.22,108,
2023.2.23,108,
2023.2.24,108,
2023.2.25,108,
2023.2.26,108,
2023.2.27,108,
2023.2.28,108,
2023.3.1,108,
2023.3.2,108,
2023.3.3,108,
2023.3.4,108,
2023.3.5,108,
2023.3.6,108,
2023.3.7,108,
2023.3.8,108,1.2
2023.3.9,108,3.7
2023.3.10,108,
2023.3.11,108,
2023.3.12,108,5.6
2023.3.13,108,
2023.3.14,108,
2023.3.15,108,
2023.3.16,108,
2023.3.17,108,
2023.3.18,108,
2023.3.19,108,
2023.3.20,108,
2023.3.21,108,
2023.3.22,108,
2023.3.23,108,0
2023.3.24,108,
2023.3.25,108,
2023.3.26,108,
2023.3.27,108,
2023.3.28,108,
2023.3.29,108,
2023.3.30,108,
2023.3.31,108,
2023.4.1,108,
2023.4.2,108,
2023.4.3,108,
2023.4.4,108,6.9
2023.4.5,108,50.3
2023.4.6,108,2.7
2023.4.7,108,
2023.4.8,108,
2023.4.9,108,
2023.4.10,108,
2023.4.11,108,2.9
2023.4.12,108,
2023.4.13,108,0
2023.4.14,108,
2023.4.15,108,4.6
2023.4.16,108,0
2023.4.17,108,
2023.4.18,108,1.5
2023.4.19,108,
2023.4.20,108,0.5
2023.4.21,108,
2023.4.22,108,
2023.4.23,108,
2023.4.24,108,
2023.4.25,108,0.4
2023.4.26,108,0
2023.4.27,108,
2023.4.28,108,1.9
2023.4.29,108,25.1
2023.4.30,108,0.1
2023.5.1,108,
2023.5.2,108,
2023.5.3,108,
2023.5.4,108,
2023.5.5,108,30.2
2023.5.6,108,47.5
2023.5.7,108,
2023.5.8,108,
2023.5.9,108,
2023.5.10,108,
2023.5.11,108,
2023.5.12,108,
2023.5.13,108,0
2023.5.14,108,
2023.5.15,108,
2023.5.16,108,
2023.5.17,108,
2023.5.18,108,1.3
2023.5.19,108,
2023.5.20,108,
2023.5.21,108,0.2
2023.5.22,108,0
2023.5.23,108,
2023.5.24,108,
2023.5.25,108,0
2023.5.26,108,0.5
2023.5.27,108,31.8
2023.5.28,108,41.8
2023.5.29,108,2.3
2023.5.30,108,
2023.5.31,108,
2023.6.1,108,
2023.6.2,108,0
2023.6.3,108,
2023.6.4,108,
2023.6.5,108,
2023.6.6,108,0
2023.6.7,108,0
2023.6.8,108,1.9
2023.6.9,108,1.2
2023.6.10,108,0.8
2023.6.11,108,32.2
2023.6.12,108,0
2023.6.13,108,0
2023.6.14,108,30.6
2023.6.15,108,
2023.6.16,108,
2023.6.17,108,
2023.6.18,108,
2023.6.19,108,
2023.6.20,108,6.4
2023.6.21,108,24.9
2023.6.22,108,0
2023.6.23,108,
2023.6.24,108,
2023.6.25,108,
2023.6.26,108,30.3
2023.6.27,108,2.5
2023.6.28,108,0
2023.6.29,108,63.8
2023.6.30,108,1
2023.7.1,108,
2023.7.2,108,
2023.7.3,108,
2023.7.4,108,61.8
2023.7.5,108,15.3
2023.7.6,108,
2023.7.7,108,
2023.7.8,108,
2023.7.9,108,47.5
2023.7.10,108,11.5
2023.7.11,108,58.3
2023.7.12,108,0.7
2023.7.13,108,91.6
2023.7.14,108,72.7
2023.7.15,108,2.3
2023.7.16,108,9.7
2023.7.17,108,1.4
2023.7.18,108,2.3
2023.7.19,108,
2023.7.20,108,
2023.7.21,108,
2023.7.22,108,12.3
2023.7.23,108,40.2
2023.7.24,108,0.4
2023.7.25,108,5.6
2023.7.26,108,1
2023.7.27,108,0
2023.7.28,108,
2023.7.29,108,
2023.7.30,108,25
2023.7.31,108,0.3
2023.8.1,108,
2023.8.2,108,
2023.8.3,108,
2023.8.4,108,
2023.8.5,108,
2023.8.6,108,4.9
2023.8.7,108,
2023.8.8,108,
2023.8.9,108,0.2
2023.8.10,108,86.1
2023.8.11,108,46.7
2023.8.12,108,1.5
2023.8.13,108,
2023.8.14,108,
2023.8.15,108,
2023.8.16,108,0.3
2023.8.17,108,
2023.8.18,108,0.1
2023.8.19,108,
2023.8.20,108,0
2023.8.21,108,0
2023.8.22,108,42.6
2023.8.23,108,41.8
2023.8.24,108,5.2
2023.8.25,108,0
2023.8.26,108,
2023.8.27,108,0
2023.8.28,108,10.4
2023.8.29,108,54.8
2023.8.30,108,3.5
2023.8.31,108,
2023.9.1,108,
2023.9.2,108,
2023.9.3,108,0.1
2023.9.4,108,0.3
2023.9.5,108,0
2023.9.6,108,
2023.9.7,108,
2023.9.8,108,
2023.9.9,108,
2023.9.10,108,
2023.9.11,108,
2023.9.12,108,
2023.9.13,108,15.9
2023.9.14,108,
2023.9.15,108,2.1
2023.9.16,108,38.7
2023.9.17,108,3
2023.9.18,108,
2023.9.19,108,
2023.9.20,108,35.8
2023.9.21,108,0
2023.9.22,108,
2023.9.23,108,
2023.9.24,108,
2023.9.25,108,1.9
2023.9.26,108,27.8
